,Submission Date,Instituição de ensino superior,"Se outra, qual?",Dentro da minha instituição sou,Idade,Orientação sexual,Caso queiras especificar:,Identidade de género,Caso queiras especificar:.1,Sou intersexo:,Indica o teu conhecimento sobre >> Temas LGBTI+,Indica o teu conhecimento sobre >> Iniciativas dinamizadas sobre temas LGBTI+ na tua faculdade,Indica o teu conhecimento sobre >> A importância da existência de casas de banho neutras,Tens um núcleo LGBTI+ na tua instituição?,Tens conhecimento de alguma iniciativa relacionada com casas de banho neutras na tua instituição?,"Uma casa de banho neutra, para mim, é...",Quão confortável te sentes a usar... >> a casa de banho feminina?,Quão confortável te sentes a usar... >> a casa de banho masculina?,Já usaste uma casa de banho neutra num espaço público?,Quão confortável te sentes ao usar...,Quão confortável achas que te sentirias ao usar...,Queres justificar a tua resposta à pergunta anterior?,A tua instituição tem casas de banho neutras?,Como funcionam e quantas há?,Já sofreste discriminação ao utilizar uma casa de banho pública?,Esse episódio de discriminação foi numa instituição de ensino superior?,Como seria para ti uma casa de banho neutra segura?,Há mais alguma coisa que gostarias de nos dizer?
0,2022/07/15 14:43:05,Universidade de Lisboa - Faculdade de Ciências,,Docente,mais de 50,Heteressexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,2 - pouco,Não sei,,"para todos, independentemente do sexo

não distinguir

ser mais inclusiva, para algumas minorias",5,1,NÃO,,2,não me sentiria confortável com homens dentro do mesmo espaço de casa de banho,Não,,Não,,,
1,2022/07/15 09:44:34,Universidade de Lisboa - Faculdade de Ciências,,Investigadore,27-29,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,2 - pouco,3 - algum,Não sei,,Para quem não se identifica com nenhum dos géneros padronizados pela sociedade.,5,3 ,NÃO,,3 ,"Não me iria sentir confortável com a presença de ""homens"". Coloquei entre aspas pq para mim quem frequentará estas casas de banho são pessoas que não se consideram enquadradas em nenhum género padronizado pela sociedade.",Não tenho a certeza,,Não,,"Não sei como possa ser estabelecido um controlo. Mas penso que se for para a frente, poderá existir discriminação das pessoas que frequentarão estas casas de banho, podendo haver ""esperas"" no exterior ou até mesmo no interior (infelizmente ainda é uma realidade dos dias de hoje, as pessoas não aceitam a liberdade de escolha. Estamos a caminhar para um futuro mais risonho, mas a meu ver ainda estamos longe disso).",
2,2022/07/14 20:22:04,Outra,ISEL,Alune,30-39,Assexual,,Homem cisgénero,,Não,5 - muito,1 - nenhum,4 - suficiente ,Não sei,,,1,5,SIM,4,,,Sim,1,Não,,,
3,2022/07/14 20:19:10,Universidade de Lisboa - Faculdade de Ciências,,Alune,20-21,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,4 - suficiente ,3 - algum,Não sei,,,4,nunca usei,NÃO,,2,,Não,,Não,,,
4,2022/07/14 18:05:42,Universidade de Lisboa - Faculdade de Ciências,,Ex-alune,30-39,Heteressexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,4 - suficiente ,Não sei,,Para quem se sente bem em utiliza-las,5,2,NÃO,,4,,Não tenho a certeza,,Não,,,
5,2022/07/14 17:04:21,Outra,ISPA,Ex-alune,40-49,Bissexual/Pansexual,Polysexual- a bissexualidade está mais associada a géneros binarios,Pessoa não-binária,,Não,5 - muito,3 - algum,5 - muito,Não sei,Não,Para pesdoas de qualquer identidade ou expressao de género. Para que não haja discriminação. Para o bem estar de todas as pessoas.,5,4,NÃO,,5,Acho ideal não haver segregaçao por géneros.,Não tenho a certeza,,Não,,Onde nao houvesse discriminacao de nenhuma identidade de género,Não
6,2022/07/14 14:17:42,Universidade de Lisboa - Faculdade de Ciências,,"Investigadore
Ex-alune",30-39,Homossexual,,Mulher cisgénero,,Não,5 - muito,3 - algum,5 - muito,Não sei,Não,"Para todos aqueles que as quiserem usar.

Para todos aqueles que já ouviram ""estás na casa de banho errada"".

Para que todos possamos ser livres.",4,3 ,SIM,5,,,Não,,Sim,Sim,"Teria de haver controlo, para que quem discrimina não as usasse como forma de perpetuar a discriminação",
7,2022/07/14 12:31:53,Universidade de Lisboa - Faculdade de Ciências,,Alune,20-21,Heteressexual,,Mulher cisgénero,,Não,3 - algum,3 - algum,2 - pouco,Sim,,Desde que deixem o tampo da sanita limpo tou nem aí quem usa a casa de banho,4,nunca usei,SIM,4,,,Não,,Não,,urinóis dentro de cubículos (tal como as sanitas já são) e a possibilidade de trancar a porta do cubículo,
8,2022/07/14 11:29:09,Universidade de Lisboa - Faculdade de Ciências,,Alune,18-19,Em questionamento,,Mulher cisgénero,,Não,4 - suficiente ,3 - algum,4 - suficiente ,Sim,,,5,nunca usei,NÃO,,5,,Não,,Não,,,
9,2022/07/14 11:01:18,Universidade de Lisboa - Faculdade de Ciências,,Investigadore,30-39,Homossexual,,Homem cisgénero,,Não,5 - muito,1 - nenhum,5 - muito,Não sei,,A restroom for anyone who wants to use it.,3 ,3 ,SIM,5,,,Não tenho a certeza,,Não,,A safer and inclusive space where anyone can get its privacy.,
